epoch,validationerror,testerror
1,0.941141,0.938743
2,0.868379,0.867602
3,0.75053,0.752723
4,0.707495,0.708807
5,0.676443,0.674183
6,0.652145,0.647905
7,0.629899,0.624763
8,0.60964,0.60535
9,0.592161,0.58866
10,0.576933,0.5741
11,0.562632,0.559659
12,0.550649,0.547763
13,0.539592,0.535866
14,0.526417,0.525687
15,0.515162,0.513909
16,0.507548,0.506984
17,0.499073,0.498994
18,0.490797,0.491536
19,0.484507,0.484316
20,0.475768,0.477746
21,0.469545,0.471887
22,0.461864,0.465554
23,0.455773,0.459931
24,0.447762,0.453184
25,0.441936,0.44768
26,0.436573,0.441998
27,0.431939,0.436316
28,0.427436,0.431404
29,0.422603,0.426669
30,0.418763,0.42223
31,0.415122,0.418205
32,0.410686,0.414891
33,0.406316,0.411813
34,0.401682,0.407138
35,0.398702,0.403527
36,0.394465,0.400568
37,0.39036,0.397195
38,0.387447,0.394531
39,0.383739,0.391986
40,0.381157,0.388021
41,0.379237,0.384766
42,0.376589,0.380919
43,0.37361,0.377959
44,0.370233,0.374467
45,0.367519,0.371922
46,0.364274,0.36843
47,0.361361,0.365826
48,0.358845,0.362393
49,0.356594,0.360263
50,0.353218,0.357836
51,0.350768,0.354995
52,0.348848,0.352036
53,0.346928,0.349254
54,0.345074,0.347301
55,0.342691,0.345526
56,0.340903,0.34375
57,0.338917,0.341738
58,0.337394,0.339252
59,0.335342,0.336648
60,0.333024,0.334872
61,0.331435,0.33286
62,0.329118,0.33138
63,0.327397,0.329723
64,0.326073,0.327829
65,0.324881,0.326231
66,0.323557,0.323804
67,0.322034,0.321911
68,0.320644,0.3212
69,0.319121,0.31978
70,0.317797,0.318359
71,0.316075,0.317649
72,0.31495,0.316465
73,0.313824,0.314749
74,0.312831,0.313506
75,0.311772,0.312145
76,0.310448,0.310902
77,0.309454,0.309837
78,0.308197,0.309363
79,0.307071,0.308475
80,0.306475,0.307055
81,0.304688,0.305457
82,0.303761,0.305043
83,0.302436,0.304036
84,0.301774,0.302971
85,0.30098,0.30232
86,0.299854,0.300959
87,0.299325,0.30013
88,0.298265,0.298946
89,0.297405,0.297763
90,0.296147,0.29652
91,0.295087,0.295099
92,0.294624,0.294389
93,0.29416,0.293383
94,0.293234,0.292673
95,0.292373,0.291607
96,0.291247,0.290424
97,0.290387,0.290009
98,0.289195,0.288648
99,0.288334,0.287997
100,0.287871,0.287583
101,0.286679,0.286458
102,0.285553,0.285985
103,0.285222,0.28563
104,0.284693,0.285156
105,0.283898,0.284328
106,0.283104,0.283617
107,0.282773,0.282789
108,0.282045,0.281605
109,0.280919,0.281842
110,0.280323,0.280895
111,0.279661,0.280362
112,0.27933,0.279948
113,0.278867,0.279238
114,0.27794,0.278291
115,0.277741,0.277521
116,0.277344,0.277048
117,0.276549,0.276989
118,0.27602,0.275864
119,0.275424,0.275272
120,0.274629,0.274858
121,0.274298,0.274325
122,0.273173,0.27397
123,0.272511,0.273378
124,0.27218,0.273319
125,0.271253,0.272372
126,0.270524,0.271366
127,0.270061,0.270597
128,0.2692,0.270301
129,0.268803,0.269768
130,0.268472,0.269117
131,0.267942,0.268348
132,0.267744,0.267992
133,0.266883,0.267223
134,0.266552,0.266809
135,0.266221,0.266335
136,0.265426,0.265803
137,0.265294,0.265211
138,0.264235,0.265152
139,0.264168,0.26456
140,0.263705,0.264382
141,0.263308,0.263376
142,0.262248,0.262488
143,0.261653,0.262192
144,0.261653,0.262192
145,0.261454,0.261423
146,0.260924,0.261186
147,0.259666,0.260239
148,0.259401,0.260298
149,0.259137,0.259943
150,0.258739,0.259588
151,0.258342,0.258937
152,0.25768,0.258582
153,0.257415,0.257931
154,0.257018,0.25728
155,0.256687,0.256925
156,0.25629,0.256333
157,0.256091,0.256096
158,0.255429,0.256037
159,0.254833,0.255919
160,0.254966,0.255504
161,0.254701,0.255149
162,0.254237,0.254557
163,0.253774,0.254261
164,0.253244,0.254143
165,0.252979,0.25361
166,0.252119,0.253255
167,0.251854,0.252841
168,0.25139,0.252545
169,0.250927,0.252545
170,0.250463,0.252071
171,0.250199,0.251243
172,0.249801,0.250947
173,0.249603,0.250769
174,0.249603,0.25071
175,0.249338,0.250355
176,0.249007,0.249763
177,0.248676,0.249112
178,0.248279,0.249112
179,0.247749,0.249053
180,0.247683,0.248757
181,0.247815,0.24858
182,0.24755,0.248047
183,0.247021,0.24781
184,0.246888,0.247396
185,0.246292,0.247159
186,0.24616,0.246982
187,0.245696,0.246449
188,0.245299,0.246153
189,0.244836,0.245739
190,0.244703,0.245502
191,0.24477,0.245088
192,0.244108,0.244614
193,0.244041,0.244437
194,0.243843,0.244259
195,0.243313,0.244022
196,0.24285,0.243904
197,0.242585,0.243845
198,0.24232,0.243194
199,0.242188,0.242839
200,0.241923,0.242898
201,0.241592,0.242839
202,0.241393,0.242661
203,0.24093,0.242543
204,0.240996,0.242128
205,0.240466,0.242543
206,0.240267,0.241655
207,0.240267,0.241122
208,0.239738,0.241241
209,0.239738,0.241359
210,0.239473,0.241063
211,0.239407,0.240649
212,0.238745,0.240116
213,0.238943,0.239998
214,0.238612,0.240175
215,0.23848,0.23982
216,0.238215,0.239702
217,0.237884,0.239583
218,0.237487,0.238873
219,0.237156,0.238636
220,0.237288,0.238222
221,0.237156,0.238459
222,0.236626,0.237689
223,0.236361,0.237512
224,0.236295,0.237393
225,0.236361,0.237098
226,0.235633,0.236802
227,0.235434,0.236328
228,0.235633,0.236151
229,0.235302,0.235973
230,0.234971,0.235618
231,0.235169,0.235677
232,0.234507,0.23544
233,0.234309,0.235381
234,0.23411,0.235263
235,0.233912,0.234848
236,0.233845,0.234789
237,0.233514,0.234671
238,0.233713,0.234375
239,0.233647,0.234553
240,0.233382,0.234197
241,0.232918,0.233724
242,0.232918,0.23331
243,0.232985,0.233428
244,0.232654,0.233073
245,0.232389,0.232955
246,0.231925,0.23254
247,0.23166,0.232304
248,0.231329,0.232126
249,0.231396,0.231948
250,0.231263,0.231889
251,0.230998,0.231712
252,0.230998,0.231652
253,0.230734,0.231652
254,0.230601,0.231416
255,0.230866,0.230883
256,0.23027,0.230942
257,0.230601,0.230528
258,0.230005,0.230587
259,0.229873,0.23041
260,0.229608,0.23041
261,0.229608,0.230114
262,0.229674,0.230232
263,0.229145,0.230173
264,0.228814,0.229759
265,0.228681,0.229759
266,0.228747,0.229581
267,0.228615,0.229522
268,0.228218,0.228989
269,0.228218,0.229048
270,0.228019,0.228812
271,0.227887,0.228871
272,0.227556,0.228575
273,0.227556,0.228279
274,0.227489,0.228456
275,0.227291,0.228042
276,0.227225,0.228042
277,0.226827,0.228042
278,0.226695,0.227687
279,0.22643,0.227628
280,0.226165,0.227391
281,0.226298,0.227036
282,0.225768,0.226918
283,0.225569,0.226977
284,0.225636,0.22674
285,0.225503,0.226622
286,0.225106,0.226681
287,0.225172,0.226622
288,0.225238,0.226385
289,0.224907,0.226326
290,0.224709,0.226267
291,0.224576,0.226089
292,0.22451,0.225852
293,0.224642,0.225911
294,0.224245,0.225793
295,0.224047,0.225675
296,0.22398,0.225379
297,0.22398,0.225438
298,0.22398,0.22526
299,0.223583,0.224787
300,0.223385,0.224905
301,0.223318,0.224669
302,0.223517,0.224491
303,0.223186,0.224254
304,0.223054,0.224136
305,0.22312,0.22384
306,0.222921,0.223662
307,0.222987,0.223544
308,0.222855,0.223366
309,0.222987,0.223426
310,0.22259,0.223307
311,0.222722,0.223071
312,0.222524,0.223011
313,0.222458,0.222775
314,0.222325,0.222715
315,0.222193,0.222715
316,0.222193,0.222538
317,0.222259,0.222301
318,0.222193,0.222005
319,0.221729,0.221946
320,0.221796,0.222005
321,0.221597,0.221473
322,0.2212,0.221532
323,0.221398,0.221354
324,0.221133,0.221354
325,0.221266,0.221117
326,0.221067,0.220881
327,0.221067,0.220762
328,0.221001,0.220526
329,0.221133,0.220644
330,0.221001,0.220289
331,0.221067,0.220407
332,0.220869,0.220289
333,0.220604,0.220111
334,0.220736,0.22023
335,0.220339,0.220052
336,0.220273,0.219756
337,0.220273,0.219934
338,0.220207,0.219815
339,0.220273,0.219875
340,0.220273,0.219519
341,0.220339,0.219697
342,0.22014,0.219697
343,0.220074,0.219638
344,0.220074,0.219401
345,0.220074,0.219223
346,0.22014,0.219105
347,0.219809,0.219046
348,0.219677,0.219164
349,0.219544,0.218868
350,0.219677,0.218632
351,0.219611,0.21875
352,0.219611,0.218513
353,0.219544,0.218513
354,0.219611,0.218395
355,0.219147,0.218513
356,0.219081,0.218336
357,0.219147,0.218277
358,0.218949,0.218277
359,0.218485,0.217803
360,0.218882,0.217566
361,0.218618,0.217625
362,0.218618,0.217566
363,0.21822,0.21733
364,0.218353,0.217093
365,0.21822,0.217034
366,0.21822,0.216856
367,0.21822,0.21727
368,0.21822,0.217448
369,0.218022,0.216915
370,0.217889,0.216856
371,0.217823,0.217034
372,0.217757,0.216797
373,0.217823,0.216856
374,0.217823,0.216738
375,0.217558,0.216738
376,0.21736,0.216679
377,0.21736,0.216501
378,0.217293,0.216442
379,0.21736,0.216501
380,0.21736,0.216501
381,0.217227,0.216501
382,0.217227,0.21656
383,0.217227,0.216383
384,0.217293,0.216501
385,0.217161,0.216205
386,0.217095,0.216087
387,0.217029,0.216087
388,0.217029,0.216027
389,0.216764,0.215968
390,0.216367,0.215968
391,0.216631,0.21585
392,0.216499,0.215909
393,0.216433,0.21585
394,0.216234,0.215791
395,0.216234,0.215672
396,0.216234,0.215554
397,0.216102,0.215495
398,0.215704,0.215376
399,0.215969,0.215376
400,0.215704,0.215199
401,0.215837,0.21514
402,0.215572,0.215199
