epoch,validationerror,testerror
1,0.994505,0.994437
2,0.968882,0.967862
3,0.911811,0.911103
4,0.885395,0.887725
5,0.868578,0.869732
6,0.844743,0.844164
7,0.827794,0.827178
8,0.816141,0.8154
9,0.79959,0.799242
10,0.788599,0.78776
11,0.774828,0.776515
12,0.766353,0.767282
13,0.754105,0.756274
14,0.746028,0.747751
15,0.735169,0.733724
16,0.724642,0.724136
17,0.713586,0.712062
18,0.705707,0.703776
19,0.692863,0.692412
20,0.686043,0.684126
21,0.675384,0.675485
22,0.667373,0.667614
23,0.656846,0.65986
24,0.650887,0.653232
25,0.642677,0.643999
26,0.636586,0.638613
27,0.625861,0.626184
28,0.62169,0.62139
29,0.613745,0.614169
30,0.60964,0.6105
31,0.600371,0.602983
32,0.597855,0.599018
33,0.590042,0.591738
34,0.586533,0.587121
35,0.579184,0.58138
36,0.576536,0.578303
37,0.570577,0.572206
38,0.56773,0.567531
39,0.562169,0.563329
40,0.558726,0.5596
41,0.55429,0.55599
42,0.551774,0.552261
43,0.545485,0.548769
44,0.544028,0.545691
45,0.538731,0.542673
46,0.537142,0.538707
47,0.53264,0.535215
48,0.53317,0.533617
49,0.527542,0.529179
50,0.527079,0.527521
51,0.521517,0.523082
52,0.51973,0.520893
53,0.516088,0.518348
54,0.51536,0.515507
55,0.510924,0.512547
56,0.510527,0.511482
57,0.505892,0.508108
58,0.505694,0.506984
59,0.501655,0.50367
60,0.501059,0.501598
61,0.495961,0.498284
62,0.495365,0.497277
63,0.490532,0.494555
64,0.490069,0.493134
65,0.486427,0.491004
66,0.485236,0.489406
67,0.482124,0.485914
68,0.481727,0.4855
69,0.478747,0.481712
70,0.479277,0.481357
71,0.474179,0.47745
72,0.476165,0.477687
73,0.470935,0.472538
74,0.47067,0.472775
75,0.467956,0.469046
76,0.466764,0.467862
77,0.463387,0.464844
78,0.463321,0.463127
79,0.461269,0.461352
80,0.460606,0.458688
81,0.458289,0.45567
82,0.459216,0.456617
83,0.455244,0.453835
84,0.454648,0.453421
85,0.452794,0.450284
86,0.45094,0.448982
87,0.446901,0.445549
88,0.447365,0.444957
89,0.443194,0.442531
90,0.44379,0.442472
91,0.440413,0.439394
92,0.441075,0.438743
93,0.437434,0.436671
94,0.437235,0.436139
95,0.435117,0.434126
96,0.434322,0.432706
97,0.431409,0.429628
98,0.430548,0.430634
99,0.428893,0.426965
100,0.428165,0.426491
101,0.424921,0.423828
102,0.425119,0.424183
103,0.422934,0.422289
104,0.421809,0.421816
105,0.420021,0.418916
106,0.419889,0.419685
107,0.416777,0.416844
108,0.415651,0.417495
109,0.414261,0.415128
110,0.412871,0.414714
111,0.413334,0.413944
112,0.410885,0.412938
113,0.409825,0.410334
114,0.410289,0.411162
115,0.408038,0.409091
116,0.406316,0.408262
