epoch,validationerror,testerror
1,0.913996,0.91424
2,0.788996,0.788471
3,0.652675,0.653646
4,0.609176,0.609848
5,0.567598,0.56901
6,0.540254,0.539832
7,0.517677,0.516217
8,0.496425,0.494614
9,0.480734,0.481179
10,0.467558,0.468691
11,0.45584,0.458156
12,0.443061,0.445431
13,0.431674,0.434777
14,0.422471,0.425189
15,0.412209,0.413767
16,0.403734,0.404948
17,0.394531,0.397135
18,0.387381,0.389205
19,0.38023,0.382161
20,0.373146,0.375473
21,0.36593,0.369081
22,0.360832,0.369081
23,0.355005,0.357304
24,0.349974,0.353397
25,0.345736,0.347301
26,0.340506,0.34304
27,0.336533,0.337476
28,0.332495,0.332446
29,0.327264,0.328303
30,0.324153,0.324692
31,0.320114,0.320549
32,0.315612,0.317057
33,0.31197,0.312678
34,0.308594,0.308712
35,0.305813,0.306226
36,0.301576,0.301551
37,0.299921,0.299242
38,0.297206,0.29652
39,0.293896,0.293501
40,0.290585,0.290542
41,0.287805,0.287346
42,0.285752,0.285393
43,0.283766,0.285393
44,0.282309,0.281013
45,0.281647,0.279593
46,0.278999,0.277048
47,0.276284,0.275746
48,0.275026,0.27468
49,0.273106,0.271603
50,0.271451,0.270833
51,0.269928,0.270123
52,0.268406,0.268348
53,0.267413,0.266927
54,0.26642,0.264974
55,0.265493,0.264027
56,0.264897,0.264382
57,0.263308,0.262429
58,0.262182,0.261541
59,0.26152,0.259884
60,0.260593,0.259115
61,0.260196,0.258404
62,0.259004,0.257457
63,0.259004,0.256629
64,0.257812,0.255268
65,0.257283,0.254025
66,0.256952,0.254439
67,0.255826,0.253433
68,0.255495,0.253196
69,0.25523,0.252071
70,0.254502,0.25148
71,0.25384,0.250829
72,0.252781,0.249467
73,0.25192,0.248816
74,0.251457,0.247988
75,0.250066,0.247455
76,0.250132,0.246922
77,0.249272,0.246212
78,0.24861,0.245798
79,0.247815,0.244732
80,0.247219,0.244437
81,0.247219,0.243312
82,0.245895,0.242779
83,0.24563,0.24201
84,0.244968,0.241241
85,0.244372,0.24053
86,0.243843,0.239879
87,0.243313,0.239465
88,0.242783,0.238577
89,0.241592,0.237689
90,0.241327,0.237393
91,0.240334,0.236802
92,0.239738,0.235855
93,0.23901,0.235381
94,0.238347,0.234848
95,0.23795,0.234553
96,0.237487,0.234257
97,0.237156,0.233606
98,0.237354,0.232955
99,0.236891,0.232718
100,0.23603,0.232244
101,0.235898,0.231889
102,0.235103,0.231297
103,0.235169,0.230942
104,0.234706,0.230528
105,0.234706,0.229936
106,0.234507,0.229759
107,0.23411,0.229226
108,0.233779,0.228752
109,0.233382,0.228397
110,0.233183,0.227687
111,0.232918,0.227391
112,0.232587,0.226799
113,0.23219,0.22674
114,0.231859,0.22603
115,0.231462,0.225971
116,0.230932,0.225616
117,0.230866,0.225556
118,0.230336,0.225379
119,0.230138,0.224491
120,0.229476,0.223722
121,0.229343,0.223426
122,0.229012,0.223189
123,0.228615,0.222775
