seconds,situations,mirrored,probing
1.79,100000,1,52837
2.27,200000,2,108713
2.75,300000,3,282667
3.24,400000,14,528727
3.74,500000,14,821690
4.25,600000,15,1833742
4.74,700000,15,2243134
5.26,800000,15,3502356
5.75,900000,17,4207681
6.29,1000000,17,6661255
6.79,1100000,31,7459883
7.29,1200000,36,8357544
7.81,1300000,39,9769676
8.33,1400000,39,10683610
8.85,1500000,39,12810912
9.38,1600000,39,14238451
9.91,1700000,40,15987745
10.48,1800000,44,19708076
11.05,1900000,44,23067924
11.73,2000000,44,31345690
12.27,2100000,44,35540538
12.86,2200000,45,41733529
13.41,2300000,45,45459787
13.98,2400000,45,50647745
14.58,2500000,45,57401525
15.15,2600000,45,62130488
15.80,2700000,45,72507107
16.57,2800000,45,88944991
17.19,2900000,45,97441951
17.89,3000000,45,108700145
18.66,3100000,46,123775215
19.44,3200000,57,140062440
20.07,3300000,59,147768013
20.91,3400000,60,166524231
21.77,3500000,61,188370685
22.62,3600000,70,206759514
23.52,3700000,73,230306289
24.19,3800000,73,243164798
24.91,3900000,73,259526806
25.58,4000000,73,271452153
26.23,4100000,73,283175132
26.89,4200000,73,294497086
27.58,4300000,73,307599973
28.39,4400000,73,329424615
29.18,4500000,73,348722080
30.02,4600000,73,369624527
30.98,4700000,75,395744252
32.49,4800000,76,451787644
33.88,4900000,79,501275977
35.45,5000000,80,559440119
36.94,5100000,80,617802955
38.69,5200000,83,691306221
40.64,5300000,86,775816011
42.86,5400000,88,867275056
44.74,5500000,88,944753518
45.80,5600000,88,981194132
47.12,5700000,92,1028117750
50.12,5800000,92,1160674650
51.97,5900000,93,1237240328
52.98,6000000,94,1280297330
54.08,6100000,95,1328565942
55.20,6200000,95,1377227458
56.29,6300000,95,1423383265
57.36,6400000,100,1468233779
58.49,6500000,100,1517350180
59.61,6600000,101,1565859792
60.96,6700000,101,1632867437
62.20,6800000,102,1689450129
63.37,6900000,102,1739677936
64.84,7000000,102,1814670374
66.10,7100000,102,1873464115
67.44,7200000,103,1938412869
68.91,7300000,104,2011480003
70.32,7400000,104,2078044339
71.63,7500000,104,2135343092
72.95,7600000,106,2196362480
74.54,7700000,108,2275872670
75.95,7800000,115,2339029924
77.78,7900000,115,2426045031
79.07,8000000,115,2489115691
80.69,8100000,115,2575652441
82.22,8200000,115,2655929464
83.67,8300000,119,2727348568
85.59,8400000,119,2832564896
87.24,8500000,119,2916517486
89.15,8600000,119,3021003980
91.27,8700000,121,3138766597
93.16,8800000,121,3239971359
95.16,8900000,121,3345853276
97.58,9000000,121,3484232713
100.24,9100000,121,3633751337
102.93,9200000,122,3782900204
105.56,9300000,122,3926644036
108.51,9400000,122,4094293466
111.61,9500000,122,4272481849
114.96,9600000,122,169538836
119.37,9700000,122,418790577
123.12,9800000,127,636701971
127.62,9900000,130,888712914
133.06,10000000,130,1189509169
137.95,10100000,133,1456344347
144.66,10200000,134,1819129668
151.14,10300000,135,2187025121
163.31,10400000,136,2787407257
176.13,10500000,136,3441724616
184.15,10600000,137,3911982685
189.66,10700000,144,4231539876
198.78,10800000,147,454518827
207.10,10900000,149,944747517
214.53,11000000,149,1402360931
221.07,11100000,149,1798724437
227.99,11200000,151,2216412901
238.53,11300000,156,2850345255
253.15,11400000,158,3695138929
266.83,11500000,163,185081487
281.95,11600000,170,1057012241
297.78,11700000,170,1942443819
310.85,11800000,170,2723518484
325.61,11900000,180,3612179455
344.25,12000000,180,423292586
361.67,12100000,187,1439190191
378.03,12200000,191,2398052565
395.60,12300000,192,3484110311
425.07,12400000,215,804950196
453.95,12500000,238,2389222174
481.96,12600000,265,3960343938
518.30,12700000,282,1655154134
547.13,12800000,282,3327286722
588.22,12900000,283,1257021303
629.39,13000000,290,3388500367
674.75,13100000,294,1464123036
735.55,13200000,294,425516303
776.31,13300000,294,2832274943
833.39,13400000,294,1738761253
903.70,13500000,295,1341976959
975.71,13600000,295,1028306431
1050.49,13700000,295,783420942
1121.55,13800000,296,374201201
1191.85,13900000,296,4227602752
1295.26,14000000,296,1111586359
1409.72,14100000,296,2877196249
1561.78,14200000,296,2154186690
1651.77,14300000,296,2869281185
1751.73,14400000,296,4121108567
1861.96,14500000,297,1599319603
1993.98,14600000,298,341905351
2125.29,14700000,299,3301815055
