seconds,situations,mirrored,probing
1.39,10000,0,917
1.43,20000,0,3225
1.48,30000,0,4556
1.53,40000,0,7002
1.57,50000,0,10163
1.62,60000,1,16113
1.67,70000,1,24261
1.72,80000,1,46428
1.77,90000,1,49302
1.82,100000,1,52302
1.87,110000,1,55672
1.91,120000,1,58223
1.96,130000,1,62264
2.01,140000,1,67191
2.06,150000,1,75063
2.11,160000,2,77442
2.16,170000,2,83468
2.21,180000,2,89965
2.25,190000,2,103521
2.30,200000,2,107011
2.35,210000,2,110629
2.39,220000,2,115232
2.44,230000,2,120553
2.49,240000,2,132132
2.54,250000,2,152964
2.59,260000,2,171585
2.64,270000,2,190352
2.69,280000,2,242810
2.74,290000,2,274246
2.79,300000,3,287848
2.84,310000,4,308945
2.89,320000,5,363331
2.95,330000,8,371119
2.99,340000,11,379961
3.04,350000,13,387112
3.09,360000,13,396301
3.14,370000,13,423899
3.19,380000,13,441912
3.24,390000,14,470530
3.30,400000,14,560851
3.35,410000,14,578878
3.41,420000,14,658117
3.47,430000,14,712193
3.52,440000,14,737484
3.57,450000,14,748184
3.62,460000,14,772420
3.67,470000,14,824620
3.72,480000,14,832082
3.77,490000,14,849195
3.82,500000,14,867810
3.87,510000,14,883787
3.92,520000,14,923489
3.98,530000,14,982719
4.05,540000,14,1247827
4.12,550000,14,1397166
4.21,560000,14,1768329
4.27,570000,14,1800255
4.32,580000,14,1861806
4.37,590000,15,1905227
4.42,600000,15,1912296
4.47,610000,15,1925760
4.53,620000,15,1946862
4.58,630000,15,1987058
4.63,640000,15,2003030
4.68,650000,15,2018149
4.75,660000,15,2139308
4.80,670000,15,2169861
4.85,680000,15,2219227
4.91,690000,15,2278953
4.96,700000,15,2328776
5.01,710000,15,2353815
5.06,720000,15,2383499
5.11,730000,15,2443121
5.22,740000,15,2808092
5.34,750000,15,3217820
5.41,760000,15,3358372
5.48,770000,15,3484789
5.54,780000,15,3569470
5.59,790000,15,3611639
5.65,800000,15,3695346
5.71,810000,15,3773920
5.79,820000,15,3995558
5.84,830000,15,4012322
5.89,840000,15,4047932
5.94,850000,15,4078359
5.99,860000,17,4115767
6.05,870000,17,4206169
6.10,880000,17,4278533
6.16,890000,17,4373348
6.23,900000,17,4507564
6.29,910000,17,4639756
6.40,920000,17,5024274
6.51,930000,17,5439843
6.61,940000,17,5733353
6.78,950000,17,6318158
6.89,960000,17,6647967
6.95,970000,17,6696496
7.00,980000,17,6756114
7.06,990000,17,6905968
7.15,1000000,17,7218531
7.20,1010000,18,7248741
7.26,1020000,18,7312196
7.31,1030000,19,7350851
7.37,1040000,22,7436943
7.42,1050000,22,7468142
7.50,1060000,22,7597103
7.75,1070000,22,8090355
