dist,ele
0.0000,361.8000
0.0107,374.2000
0.0206,373.4000
0.0316,376.1000
0.0421,370.2000
0.0523,371.3000
0.0626,375.1000
0.0733,372.4000
0.0852,377.3000
0.0955,379.4000
0.1060,377.4000
0.1172,384.0000
0.1280,389.8000
0.1379,394.7000
0.1489,402.6000
0.1595,405.5000
0.1701,407.9000
0.1806,406.0000
0.1916,405.8000
0.2017,406.0000
0.2126,408.2000
0.2245,409.7000
0.2351,414.7000
0.2460,419.2000
0.2564,417.4000
0.2679,414.4000
0.2781,417.0000
0.2885,418.3000
0.2992,418.1000
0.3093,419.6000
0.3199,421.2000
0.3317,423.0000
0.3427,424.0000
0.3528,425.3000
0.3629,425.6000
0.3737,428.2000
0.3838,430.0000
0.3946,430.5000
0.4062,425.6000
0.4166,423.5000
0.4267,422.9000
0.4367,421.5000
0.4480,422.4000
0.4586,419.8000
0.4699,425.5000
0.4804,434.7000
0.4903,437.1000
0.5011,436.5000
0.5110,437.9000
0.5215,438.7000
0.5319,443.5000
0.5430,444.6000
0.5539,446.2000
0.5643,446.4000
0.5744,441.1000
0.5847,440.5000
0.5954,438.9000
0.6060,433.0000
0.6162,436.1000
0.6263,438.9000
0.6368,440.3000
0.6481,442.0000
0.6596,445.4000
0.6710,443.8000
0.6812,445.1000
0.6922,445.7000
0.7022,445.7000
0.7124,447.9000
0.7233,454.4000
0.7334,452.6000
0.7449,454.6000
0.7559,453.5000
0.7662,452.8000
0.7774,451.4000
0.7877,453.7000
0.7983,460.5000
0.8086,459.8000
0.8203,459.2000
0.8313,458.8000
0.8417,458.0000
0.8528,460.3000
0.8634,462.5000
0.8740,464.5000
0.8852,465.8000
0.8958,466.3000
0.9066,466.2000
0.9168,467.9000
0.9292,469.3000
0.9394,471.8000
0.9497,477.4000
0.9603,485.2000
0.9708,488.5000
0.9815,487.8000
0.9916,487.9000
1.0020,491.3000
1.0123,490.1000
1.0221,492.4000
1.0323,497.0000
1.0431,498.6000
1.0533,502.3000
1.0641,506.5000
1.0746,504.3000
1.0851,511.4000
1.0957,514.9000
1.1063,521.8000
1.1165,523.3000
1.1269,524.6000
1.1366,523.1000
1.1467,526.0000
1.1571,530.3000
1.1680,531.1000
1.1779,534.9000
1.1885,535.2000
1.1988,537.4000
1.2088,539.3000
1.2191,545.7000
1.2309,543.4000
1.2420,532.0000
1.2522,532.9000
1.2627,540.7000
1.2727,538.7000
1.2832,545.7000
1.2932,548.1000
1.3044,553.0000
1.3146,554.3000
1.3251,552.5000
1.3356,557.9000
1.3463,556.8000
1.3567,552.8000
1.3673,554.1000
1.3775,552.9000
1.3877,554.7000
1.3979,556.3000
1.4108,558.1000
1.4217,563.3000
1.4317,565.6000
1.4420,572.0000
1.4530,573.0000
1.4630,576.4000
1.4738,577.3000
1.4842,580.4000
1.4941,581.5000
1.5052,583.9000
1.5151,587.4000
1.5254,594.7000
1.5363,597.0000
1.5468,589.2000
1.5571,586.5000
1.5678,584.0000
1.5784,586.3000
1.5887,589.2000
1.5989,581.3000
1.6091,579.0000
1.6198,578.1000
1.6307,579.5000
1.6410,581.2000
1.6515,582.8000
1.6625,581.4000
1.6741,579.3000
1.6844,578.8000
1.6950,579.7000
1.7052,578.2000
1.7165,575.8000
1.7283,562.7000
1.7387,565.8000
1.7490,565.1000
1.7596,568.5000
1.7699,568.5000
1.7806,567.5000
1.7906,564.1000
1.8013,560.1000
1.8121,570.6000
1.8231,573.3000
1.8334,569.1000
1.8450,562.9000
1.8554,565.5000
1.8666,563.9000
1.8766,566.0000
1.8873,565.2000
1.8986,570.1000
1.9097,566.0000
1.9203,559.7000
1.9309,559.4000
1.9420,553.5000
1.9541,552.0000
1.9646,549.1000
1.9753,541.0000
1.9854,537.6000
1.9981,537.2000
2.0086,540.2000
2.0196,542.8000
2.0301,540.5000
2.0409,544.3000
2.0513,544.2000
2.0614,546.3000
2.0722,551.0000
2.0826,551.6000
2.0938,551.9000
2.1050,552.5000
2.1165,553.2000
2.1285,553.6000
2.1399,555.0000
2.1504,554.6000
2.1611,554.6000
2.1714,556.1000
2.1823,556.1000
2.1933,555.5000
2.2050,554.6000
2.2158,551.3000
2.2268,551.1000
2.2377,556.7000
2.2485,560.2000
2.2594,560.7000
